Assay Factor	genotype	Tissue	-log10 p-value	log2_enrichment
H1	wt	Adult	0.0	-16.609640474436812
H2Av	wt	Adult	0.19816665489437602	inf
H2Bubi	wt	Adult	0.0	-16.609640474436812
H3	wt	Adult	0.0	-16.609640474436812
H3K18ac	wt	Adult	0.0	-16.609640474436812
H3K23ac	wt	Adult	0.0	-16.609640474436812
H3K27ac	wt	Adult	0.0	-16.609640474436812
H3K27me1	wt	Adult	0.0	-16.609640474436812
H3K27me2	wt	Adult	0.0	-16.609640474436812
H3K27me3	wt	Adult	0.10583431188124022	-16.609640474436812
H3K36me1	wt	Adult	0.0	-16.609640474436812
H3K36me2	wt	Adult	0.0	-16.609640474436812
H3K36me3	wt	Adult	0.7152102814911011	inf
H3K4me1	wt	Adult	0.0	-16.609640474436812
H3K4me2	wt	Adult	0.0	-16.609640474436812
H3K4me3	wt	Adult	0.0	-16.609640474436812
H3K79me1	wt	Adult	0.0	-16.609640474436812
H3K79me2	wt	Adult	0.0	-16.609640474436812
H3K79me3	wt	Adult	0.0	-16.609640474436812
H3K9ac	wt	Adult	0.0	-16.609640474436812
H3K9acS10P	wt	Adult	0.0	-16.609640474436812
H3K9me1	wt	Adult	0.1031291838166678	-16.609640474436812
H3K9me2	wt	Adult	0.0	-16.609640474436812
H3K9me3	wt	Adult	0.22625126233646964	inf
H4K16ac	wt	Adult	0.8481556715285238	inf
H4K20me1	wt	Adult	0.0	-16.609640474436812
H4K8ac	wt	Adult	0.0	-16.609640474436812
HP1a	wt	Adult	0.0	-16.609640474436812
HP1b	wt	Adult	0.0	-16.609640474436812
HP1c	wt	Adult	0.0	-16.609640474436812
HP2	wt	Adult	0.0	-16.609640474436812
JHDM1	wt	Adult	0.4276196824925364	inf
KDM4A	wt	Adult	0.0	-16.609640474436812
LSD1	wt	Adult	0.0	-16.609640474436812
POF	wt	Adult	0.0	-16.609640474436812
PolII	wt	Adult	0.2278980325513812	inf
RPD3	wt	Adult	0.0	-16.609640474436812
Su(var)3-7	wt	Adult	0.0	-16.609640474436812
dSFMBT	wt	Adult	0.0	-16.609640474436812
