Assay Factor	genotype	Tissue	-log10 p-value	log2_enrichment
H1	wt	Adult	0.0	
H2Av	wt	Adult	0.0	
H2Bubi	wt	Adult	0.0	
H3	wt	Adult	0.0	
H3K18ac	wt	Adult	0.0	
H3K23ac	wt	Adult	0.0	
H3K27ac	wt	Adult	0.0	
H3K27me1	wt	Adult	0.0	
H3K27me2	wt	Adult	0.0	
H3K27me3	wt	Adult	0.0	
H3K36me1	wt	Adult	0.0	
H3K36me2	wt	Adult	0.0	
H3K36me3	wt	Adult	0.0	
H3K4me1	wt	Adult	0.0	
H3K4me2	wt	Adult	0.0	
H3K4me3	wt	Adult	0.0	
H3K79me1	wt	Adult	0.0	
H3K79me2	wt	Adult	0.0	
H3K79me3	wt	Adult	0.0	
H3K9ac	wt	Adult	0.0	
H3K9acS10P	wt	Adult	0.0	
H3K9me1	wt	Adult	0.0	
H3K9me2	wt	Adult	0.0	
H3K9me3	wt	Adult	0.0	
H4K16ac	wt	Adult	0.0	
H4K20me1	wt	Adult	0.0	
H4K8ac	wt	Adult	0.0	
HP1a	wt	Adult	0.0	
HP1b	wt	Adult	0.0	
HP1c	wt	Adult	0.0	
HP2	wt	Adult	0.0	
JHDM1	wt	Adult	0.0	
KDM4A	wt	Adult	0.0	
LSD1	wt	Adult	0.0	
POF	wt	Adult	0.0	
PolII	wt	Adult	0.0	
RPD3	wt	Adult	0.0	
Su(var)3-7	wt	Adult	0.0	
dSFMBT	wt	Adult	0.0	
